,Time,1,2
S/N,,602068,602068
Type,,TGP-4520,TGP-4520
Description,,TT07,TT07
Property,,Black Probe Temperature,White Probe Temperature
1,2026-03-04 10:00:12,-8.079,-7.915
2,2026-03-04 10:01:12,-8.038,-7.881
3,2026-03-04 10:02:12,-8.018,-7.876
4,2026-03-04 10:03:12,-8.144,-8.018
5,2026-03-04 10:04:12,-8.312,-8.184
6,2026-03-04 10:05:12,-8.402,-8.296
7,2026-03-04 10:06:12,-8.389,-8.249
8,2026-03-04 10:07:12,-8.365,-8.253
9,2026-03-04 10:08:12,-8.199,-8.059
10,2026-03-04 10:09:12,-8.131,-8.055
11,2026-03-04 10:10:12,-7.988,-7.856
12,2026-03-04 10:11:12,-7.865,-7.821
13,2026-03-04 10:12:12,-7.815,-7.773
14,2026-03-04 10:13:12,-7.670,-7.610
15,2026-03-04 10:14:12,-7.573,-7.528
16,2026-03-04 10:15:12,-7.528,-7.522
17,2026-03-04 10:16:12,-7.663,-7.733
18,2026-03-04 10:17:12,-8.035,-8.036
19,2026-03-04 10:18:12,-8.249,-8.171
20,2026-03-04 10:19:12,-8.379,-8.221
21,2026-03-04 10:20:12,-8.324,-8.120
22,2026-03-04 10:21:12,-8.233,-8.079
23,2026-03-04 10:22:12,-8.259,-8.134
24,2026-03-04 10:23:12,-8.042,-7.913
25,2026-03-04 10:24:12,-7.972,-7.931
26,2026-03-04 10:25:12,-7.887,-7.870
27,2026-03-04 10:26:12,-7.974,-8.035
28,2026-03-04 10:27:12,-8.214,-8.378
29,2026-03-04 10:28:12,-8.432,-8.486
30,2026-03-04 10:29:12,-8.385,-8.301
31,2026-03-04 10:30:12,-8.506,-8.463
32,2026-03-04 10:31:12,-8.452,-8.370
33,2026-03-04 10:32:12,-8.456,-8.402
34,2026-03-04 10:33:12,-8.521,-8.474
35,2026-03-04 10:34:12,-8.365,-8.205
36,2026-03-04 10:35:12,-8.216,-8.164
37,2026-03-04 10:36:12,-8.311,-8.338
38,2026-03-04 10:37:12,-8.385,-8.379
39,2026-03-04 10:38:12,-8.433,-8.448
40,2026-03-04 10:39:12,-8.452,-8.430
41,2026-03-04 10:40:12,-8.478,-8.501
42,2026-03-04 10:41:12,-8.631,-8.834
43,2026-03-04 10:42:12,-8.828,-9.045
44,2026-03-04 10:43:12,-9.042,-9.263
45,2026-03-04 10:44:12,-9.066,-9.025
46,2026-03-04 10:45:12,-9.178,-9.231
47,2026-03-04 10:46:12,-9.280,-9.328
48,2026-03-04 10:47:12,-9.500,-9.568
49,2026-03-04 10:48:12,-9.568,-9.574
50,2026-03-04 10:49:12,-9.874,-10.026
51,2026-03-04 10:50:12,-10.135,-10.215
52,2026-03-04 10:51:12,-10.073,-9.860
53,2026-03-04 10:52:12,-9.857,-9.806
54,2026-03-04 10:53:12,-9.843,-9.831
55,2026-03-04 10:54:12,-9.818,-9.843
56,2026-03-04 10:55:12,-9.912,-9.930
57,2026-03-04 10:56:12,-9.862,-9.772
58,2026-03-04 10:57:12,-9.795,-9.705
59,2026-03-04 10:58:12,-9.567,-9.334
60,2026-03-04 10:59:12,-9.475,-9.328
61,2026-03-04 11:00:12,-9.747,-9.860
62,2026-03-04 11:01:12,-9.837,-9.893
63,2026-03-04 11:02:12,-10.151,-10.205
64,2026-03-04 11:03:12,-10.312,-10.388
65,2026-03-04 11:04:12,-10.402,-10.390
66,2026-03-04 11:05:12,-10.433,-10.378
67,2026-03-04 11:06:12,-10.445,-10.343
68,2026-03-04 11:07:12,-10.365,-10.226
69,2026-03-04 11:08:12,-10.160,-9.997
70,2026-03-04 11:09:12,-10.133,-10.127
71,2026-03-04 11:10:12,-10.135,-10.071
72,2026-03-04 11:11:12,-10.112,-9.965
73,2026-03-04 11:12:12,-10.005,-9.907
74,2026-03-04 11:13:12,-9.791,-9.739
75,2026-03-04 11:14:12,-9.501,-9.523
76,2026-03-04 11:15:12,-9.395,-9.509
77,2026-03-04 11:16:12,-9.294,-9.423
78,2026-03-04 11:17:12,-9.223,-9.372
79,2026-03-04 11:18:12,-9.195,-9.339
80,2026-03-04 11:19:12,-9.134,-9.282
81,2026-03-04 11:20:12,-9.074,-9.223
82,2026-03-04 11:21:12,-9.059,-9.204
83,2026-03-04 11:22:12,-9.023,-9.163
84,2026-03-04 11:23:12,-8.970,-9.110
85,2026-03-04 11:24:12,-8.885,-9.023
86,2026-03-04 11:25:12,-8.750,-8.904
87,2026-03-04 11:26:12,-8.609,-8.795
88,2026-03-04 11:27:12,-8.484,-8.688
89,2026-03-04 11:28:12,-8.405,-8.600
90,2026-03-04 11:29:12,-8.368,-8.570
91,2026-03-04 11:30:12,-8.378,-8.570
92,2026-03-04 11:31:12,-8.407,-8.581
93,2026-03-04 11:32:12,-8.409,-8.549
94,2026-03-04 11:33:12,-8.396,-8.514
95,2026-03-04 11:34:12,-8.335,-8.463
96,2026-03-04 11:35:12,-8.448,-8.558
97,2026-03-04 11:36:12,-8.654,-8.735
98,2026-03-04 11:37:12,-8.804,-8.834
99,2026-03-04 11:38:12,-8.834,-8.823
100,2026-03-04 11:39:12,-8.857,-8.842
101,2026-03-04 11:40:12,-8.877,-8.857
102,2026-03-04 11:41:12,-8.930,-8.917
103,2026-03-04 11:42:12,-8.966,-8.943
104,2026-03-04 11:43:12,-8.919,-8.896
105,2026-03-04 11:44:12,-8.870,-8.866
106,2026-03-04 11:45:12,-8.797,-8.823
107,2026-03-04 11:46:12,-8.772,-8.813
108,2026-03-04 11:47:12,-8.766,-8.813
109,2026-03-04 11:48:12,-8.774,-8.825
110,2026-03-04 11:49:12,-8.827,-8.864
111,2026-03-04 11:50:12,-8.949,-8.966
112,2026-03-04 11:51:12,-9.117,-9.091
113,2026-03-04 11:52:12,-9.195,-9.136
114,2026-03-04 11:53:12,-9.231,-9.163
115,2026-03-04 11:54:12,-9.261,-9.201
116,2026-03-04 11:55:12,-9.244,-9.199
117,2026-03-04 11:56:12,-9.172,-9.149
118,2026-03-04 11:57:12,-9.254,-9.261
119,2026-03-04 11:58:12,-9.271,-9.261
120,2026-03-04 11:59:12,-9.490,-9.461
121,2026-03-04 12:00:12,-9.620,-9.557
122,2026-03-04 12:01:12,-9.526,-9.448
123,2026-03-04 12:02:12,-9.523,-9.480
124,2026-03-04 12:03:12,-9.612,-9.559
125,2026-03-04 12:04:12,-9.607,-9.551
126,2026-03-04 12:05:12,-9.544,-9.519
127,2026-03-04 12:06:12,-9.250,-9.225
128,2026-03-04 12:07:12,-9.008,-9.045
129,2026-03-04 12:08:12,-8.736,-8.791
130,2026-03-04 12:09:12,-8.808,-8.883
131,2026-03-04 12:10:12,-8.874,-8.966
132,2026-03-04 12:11:12,-8.881,-8.964
133,2026-03-04 12:12:12,-8.845,-8.894
134,2026-03-04 12:13:12,-8.964,-9.013
135,2026-03-04 12:14:12,-8.975,-9.038
136,2026-03-04 12:15:12,-8.874,-8.955
137,2026-03-04 12:16:12,-8.781,-8.859
138,2026-03-04 12:17:12,-8.825,-8.904
139,2026-03-04 12:18:12,-8.787,-8.864
140,2026-03-04 12:19:12,-8.723,-8.808
141,2026-03-04 12:20:12,-8.701,-8.785
142,2026-03-04 12:21:12,-8.750,-8.830
143,2026-03-04 12:22:12,-8.778,-8.853
144,2026-03-04 12:23:12,-8.725,-8.789
145,2026-03-04 12:24:12,-8.785,-8.836
146,2026-03-04 12:25:12,-8.870,-8.909
147,2026-03-04 12:26:12,-8.798,-8.849
148,2026-03-04 12:27:12,-8.646,-8.735
149,2026-03-04 12:28:12,-8.506,-8.626
150,2026-03-04 12:29:12,-8.400,-8.530
151,2026-03-04 12:30:12,-8.290,-8.432
152,2026-03-04 12:31:12,-8.214,-8.366
153,2026-03-04 12:32:12,-8.171,-8.331
154,2026-03-04 12:33:12,-8.136,-8.299
155,2026-03-04 12:34:12,-8.118,-8.275
156,2026-03-04 12:35:12,-8.157,-8.311
157,2026-03-04 12:36:12,-8.107,-8.223
158,2026-03-04 12:37:12,-8.123,-8.244
159,2026-03-04 12:38:12,-8.114,-8.227
160,2026-03-04 12:39:12,-8.071,-8.164
161,2026-03-04 12:40:12,-8.005,-8.094
162,2026-03-04 12:41:12,-7.972,-8.077
163,2026-03-04 12:42:12,-7.942,-8.064
164,2026-03-04 12:43:12,-7.845,-7.977
165,2026-03-04 12:44:12,-7.734,-7.878
166,2026-03-04 12:45:12,-7.643,-7.808
167,2026-03-04 12:46:12,-7.529,-7.712
168,2026-03-04 12:47:12,-7.537,-7.731
169,2026-03-04 12:48:12,-7.584,-7.764
170,2026-03-04 12:49:12,-7.595,-7.768
171,2026-03-04 12:50:12,-7.592,-7.751
172,2026-03-04 12:51:12,-7.568,-7.720
173,2026-03-04 12:52:12,-7.559,-7.707
174,2026-03-04 12:53:12,-7.551,-7.709
175,2026-03-04 12:54:12,-7.539,-7.701
176,2026-03-04 12:55:12,-7.535,-7.703
177,2026-03-04 12:56:12,-7.537,-7.707
178,2026-03-04 12:57:12,-7.520,-7.703
179,2026-03-04 12:58:12,-7.513,-7.681
180,2026-03-04 12:59:12,-7.517,-7.683
181,2026-03-04 13:00:12,-7.519,-7.679
182,2026-03-04 13:01:12,-7.509,-7.667
183,2026-03-04 13:02:12,-7.493,-7.647
184,2026-03-04 13:03:12,-7.488,-7.623
185,2026-03-04 13:04:12,-7.438,-7.582
186,2026-03-04 13:05:12,-7.398,-7.557
187,2026-03-04 13:06:12,-7.338,-7.500
188,2026-03-04 13:07:12,-7.289,-7.464
189,2026-03-04 13:08:12,-7.238,-7.424
190,2026-03-04 13:09:12,-7.211,-7.315
191,2026-03-04 13:10:12,-7.140,-7.090
192,2026-03-04 13:11:12,-6.987,-6.848
193,2026-03-04 13:12:12,-6.893,-6.807
194,2026-03-04 13:13:12,-6.832,-6.738
195,2026-03-04 13:14:12,-6.816,-6.817
196,2026-03-04 13:15:12,-6.868,-7.021
197,2026-03-04 13:16:12,-6.920,-7.034
198,2026-03-04 13:17:12,-6.947,-7.057
199,2026-03-04 13:18:12,-6.967,-7.061
200,2026-03-04 13:19:12,-6.981,-7.054
201,2026-03-04 13:20:12,-6.992,-7.050
202,2026-03-04 13:21:12,-7.003,-7.035
203,2026-03-04 13:22:12,-7.010,-7.050
204,2026-03-04 13:23:12,-7.017,-7.070
205,2026-03-04 13:24:12,-7.023,-7.090
206,2026-03-04 13:25:12,-7.034,-7.084
207,2026-03-04 13:26:12,-7.041,-7.077
208,2026-03-04 13:27:12,-7.046,-7.072
209,2026-03-04 13:28:12,-7.052,-7.075
210,2026-03-04 13:29:12,-7.057,-7.070
211,2026-03-04 13:30:12,-7.061,-7.072
212,2026-03-04 13:31:12,-7.066,-7.072
213,2026-03-04 13:32:12,-7.072,-7.077
214,2026-03-04 13:33:12,-7.077,-7.102
215,2026-03-04 13:34:12,-7.077,-7.117
216,2026-03-04 13:35:12,-7.079,-7.120
217,2026-03-04 13:36:12,-7.086,-7.129
218,2026-03-04 13:37:12,-7.117,-7.139
219,2026-03-04 13:38:12,-7.157,-7.153
220,2026-03-04 13:39:12,-7.168,-7.144
221,2026-03-04 13:40:12,-7.171,-7.151
222,2026-03-04 13:41:12,-7.148,-7.128
223,2026-03-04 13:42:12,-7.149,-7.195
224,2026-03-04 13:43:12,-7.149,-7.144
225,2026-03-04 13:44:12,-7.140,-7.120
226,2026-03-04 13:45:12,-7.117,-7.099
227,2026-03-04 13:46:12,-7.099,-6.972
228,2026-03-04 13:47:12,-7.088,-6.985
229,2026-03-04 13:48:12,-7.081,-6.998
230,2026-03-04 13:49:12,-7.075,-6.999
231,2026-03-04 13:50:12,-7.070,-6.999
232,2026-03-04 13:51:12,-7.066,-6.994
233,2026-03-04 13:52:12,-7.066,-7.007
234,2026-03-04 13:53:12,-7.070,-7.005
235,2026-03-04 13:54:12,-7.073,-7.007
236,2026-03-04 13:55:12,-7.077,-7.008
237,2026-03-04 13:56:12,-7.079,-7.005
238,2026-03-04 13:57:12,-7.081,-7.023
239,2026-03-04 13:58:12,-7.084,-7.034
240,2026-03-04 13:59:12,-7.088,-7.026
241,2026-03-04 14:00:12,-7.091,-7.037
242,2026-03-04 14:01:12,-7.097,-7.052
243,2026-03-04 14:02:12,-7.102,-7.082
244,2026-03-04 14:03:12,-7.108,-7.108
245,2026-03-04 14:04:12,-7.115,-7.119
246,2026-03-04 14:05:12,-7.122,-7.129
247,2026-03-04 14:06:12,-7.128,-7.158
248,2026-03-04 14:07:12,-7.139,-7.187
249,2026-03-04 14:08:12,-7.166,-7.278
250,2026-03-04 14:09:12,-7.215,-7.338
251,2026-03-04 14:10:12,-7.236,-7.349
252,2026-03-04 14:11:12,-7.265,-7.356
253,2026-03-04 14:12:12,-7.285,-7.411
254,2026-03-04 14:13:12,-7.309,-7.457
255,2026-03-04 14:14:12,-7.331,-7.426
256,2026-03-04 14:15:12,-7.356,-7.422
257,2026-03-04 14:16:12,-7.373,-7.402
258,2026-03-04 14:17:12,-7.385,-7.422
259,2026-03-04 14:18:12,-7.393,-7.455
260,2026-03-04 14:19:12,-7.407,-7.522
261,2026-03-04 14:20:12,-7.424,-7.517
262,2026-03-04 14:21:12,-7.435,-7.511
263,2026-03-04 14:22:12,-7.446,-7.539
264,2026-03-04 14:23:12,-7.457,-7.551
265,2026-03-04 14:24:12,-7.475,-7.617
266,2026-03-04 14:25:12,-7.497,-7.617
267,2026-03-04 14:26:12,-7.511,-7.595
268,2026-03-04 14:27:12,-7.482,-7.480
269,2026-03-04 14:28:12,-7.396,-7.309
270,2026-03-04 14:29:12,-7.375,-6.985
271,2026-03-04 14:30:12,-7.458,-6.969
272,2026-03-04 14:31:12,-7.568,-7.335
273,2026-03-04 14:32:12,-7.515,-7.356
274,2026-03-04 14:33:12,-7.418,-7.249
275,2026-03-04 14:34:12,-7.347,-7.302
276,2026-03-04 14:35:12,-7.566,-7.032
277,2026-03-04 14:36:12,-7.369,-7.395
278,2026-03-04 14:37:12,-7.513,-7.269
279,2026-03-04 14:38:12,-7.572,-7.444
