"TOA5","CR1000_BobbyMcGee","CR1000","5913","CR1000.Std.32.07","CPU:mini_AWS_BobbyMcGee.CR1","26551","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","ground_temperature","surface_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg"
"2026-03-02 14:23:00",14557,12.38,-6.275,82.7,4.799,6.546,40.86,987.6429,"NAN","NAN"
"2026-03-02 14:24:00",14558,12.37,-6.165,82.2,4.431,5.174,61.61,987.5746,"NAN","NAN"
"2026-03-02 14:25:00",14559,12.36,-6.12,81.7,5.558,7.37,53.34,987.6429,"NAN","NAN"
"2026-03-02 13:25:00",14560,12.36,-6.076,81.6,3.626,3.626,50.07,987.5746,"NAN","NAN"
"2026-03-02 13:27:00",14561,12.35,-6.215,81.4,5.28,6.272,49.88,987.4381,"NAN","NAN"
"2026-03-02 13:28:00",14562,12.35,-6.217,81.5,5.514,6.84,36.14,987.3699,"NAN","NAN"
"2026-03-02 13:29:00",14563,12.36,-6.252,81.7,6.279,8.76,84.8,987.3016,"NAN","NAN"
"2026-03-02 13:30:00",14564,12.36,-6.138,81.4,5.816,7.742,70.38,987.4381,"NAN","NAN"
"2026-03-02 13:31:00",14565,12.36,-6.048,80.6,5.024,6.37,48.74,987.2333,"NAN","NAN"
"2026-03-02 13:32:00",14566,12.36,-6.062,80.1,7.851,10.04,77.58,987.3016,"NAN","NAN"
"2026-03-02 13:33:00",14567,12.36,-5.966,79.11,7.842,8.86,62.8,987.2333,"NAN","NAN"
"2026-03-02 13:34:00",14568,12.36,-5.986,78.53,5.214,7.272,48.98,987.3699,"NAN","NAN"
"2026-03-02 13:35:00",14569,12.36,-6.045,78.8,7.102,8.82,59.94,987.4381,"NAN","NAN"
"2026-03-02 13:36:00",14570,12.36,-6.018,78.85,7.247,8.98,56.45,987.0285,"NAN","NAN"
"2026-03-02 13:37:00",14571,12.36,-6.065,79.03,5.215,6.488,38.22,987.165,"NAN","NAN"
"2026-03-02 13:38:00",14572,12.36,-6.154,79.52,5.975,9.02,24.99,987.3699,"NAN","NAN"
"2026-03-02 13:39:00",14573,12.36,-6.173,80,9.67,11.92,83.6,987.4381,"NAN","NAN"
"2026-03-02 13:40:00",14574,12.36,-5.947,78.7,6.849,10.21,54.36,987.2333,"NAN","NAN"
"2026-03-02 13:41:00",14575,12.36,-5.988,78.38,10.5,12.21,57.51,987.2333,"NAN","NAN"
"2026-03-02 13:42:00",14576,12.36,-5.944,77.99,8.96,10.43,49.95,987.165,"NAN","NAN"
"2026-03-02 13:43:00",14577,12.36,-5.956,78.07,8.71,10.13,52.5,987.5063,"NAN","NAN"
"2026-03-02 13:44:00",14578,12.36,-5.997,78.54,8.95,10.72,65.75,987.295,"NAN","NAN"
"2026-03-02 13:45:00",14579,12.36,-5.997,78.56,5.686,8.82,94.3,987.0754,"NAN","NAN"
"2026-03-02 13:46:00",14580,12.36,-5.916,77.87,5.432,6.742,59.93,987.3395,"NAN","NAN"
"2026-03-02 13:47:00",14581,12.36,-5.923,77.82,4.606,5.821,65.04,987.1342,"NAN","NAN"
"2026-03-02 13:48:00",14582,12.36,-6.039,78.51,5.754,6.899,46.84,987.1954,"NAN","NAN"
"2026-03-02 13:49:00",14583,12.36,-6.208,79.55,6.156,7.174,48.66,987.2581,"NAN","NAN"
"2026-03-02 13:50:00",14584,12.36,-6.188,79.99,7.131,8.64,53.94,987.0488,"NAN","NAN"
"2026-03-02 13:51:00",14585,12.36,-6.088,79.45,4.211,5.292,64,986.974,"NAN","NAN"
"2026-03-02 13:52:00",14586,12.36,-6.113,79.24,4.541,5.821,67.97,986.9717,"NAN","NAN"
"2026-03-02 13:53:00",14587,12.36,-6.019,78.77,5.619,7.115,34.65,986.9016,"NAN","NAN"
