"TOA5","CR850_Kayleigh","CR800","19785","CR800.Std.32.06","CPU:mini_AWS_Kayleigh.CR8","62587","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction"
"TS","RN","Volts","degC","%","m/s","m/s","deg"
"","","Min","Avg","Smp","Avg","Max","Smp"
"2026-03-03 12:59:00",1402,12.7,-5.787,91.8,12.71,14.76,67.01
"2026-03-03 13:00:00",1403,12.57,-5.768,91.9,13.27,15.26,67.63
"2026-03-03 13:01:00",1404,12.58,-5.819,92,13.15,14.29,60.88
"2026-03-03 13:02:00",1405,12.56,-5.836,92.1,14.25,15.76,62.18
"2026-03-03 13:03:00",1406,12.72,-5.816,92.2,13.64,15.96,65.41
"2026-03-03 13:04:00",1407,12.72,-5.876,92.4,13.16,13.73,64.66
"2026-03-03 13:05:00",1408,12.72,-5.899,92.6,12.49,13.76,62.76
"2026-03-03 13:06:00",1409,12.71,-5.907,92.9,10.04,12.89,64.06
"2026-03-03 13:07:00",1410,12.71,-5.907,92.9,13.59,15.26,59.31
"2026-03-03 13:08:00",1411,12.72,-5.899,93.1,13.18,14.69,61.43
"2026-03-03 13:09:00",1412,12.72,-5.899,93.3,13.33,14.59,61.84
"2026-03-03 13:10:00",1413,12.73,-5.89,93.2,12.94,15.33,62.11
"2026-03-03 13:11:00",1414,12.73,-5.856,93.2,14.04,16.26,66.62
"2026-03-03 13:12:00",1415,12.73,-5.828,93.2,14.55,16.66,65.63
"2026-03-03 13:13:00",1416,12.73,-5.8,93,12.22,14.49,67.56
"2026-03-03 13:14:00",1417,12.73,-5.822,92.8,12.08,12.76,78.47
"2026-03-03 13:15:00",1418,12.73,-5.8,92.8,12.11,14.03,66.18
"2026-03-03 13:16:00",1419,12.73,-5.794,92.7,12.63,13.69,67.63
"2026-03-03 13:17:00",1420,12.73,-5.817,92.5,13.78,15.66,68.12
"2026-03-03 13:18:00",1421,12.73,-5.794,92.6,14.13,15.96,66.23
"2026-03-03 13:19:00",1422,12.74,-5.78,92.4,15.47,16.69,67.73
"2026-03-03 13:20:00",1423,12.74,-5.777,92.4,14.61,17.26,63.82
"2026-03-03 13:21:00",1424,12.74,-5.769,92.4,13.41,14.86,63.31
"2026-03-03 13:22:00",1425,12.74,-5.794,92.3,12.38,13.39,62.23
"2026-03-03 13:23:00",1426,12.74,-5.797,92.4,14.22,16.26,67.73
"2026-03-03 13:24:00",1427,12.74,-5.8,92.6,12.75,14.33,64.23
"2026-03-03 13:25:00",1428,12.74,-5.788,92.5,15.25,16.93,65.19
"2026-03-03 13:26:00",1429,12.74,-5.8,92.5,13.14,14.59,62.2
"2026-03-03 13:27:00",1430,12.74,-5.82,92.5,11.51,13.66,64.4
"2026-03-03 13:28:00",1431,12.75,-5.788,92.4,10.58,15.13,67.27
"2026-03-03 13:29:00",1432,12.75,-5.715,92.2,14.3,15.89,69.71
